Road_Name,Road_Number
SUNRISE WY,25470
SUNSET AV (E OFF PACIFIC HWY),73140
SUNSET DR,23810
SUNSET ST,25520
SUNSET WY (W OFF HAXTON WY),13830
SUSAN CT,45500
SUTTON DR (E OFF MECKLEM),59340
SUTTON DR (S OFF ROEDER LN),59330
SWANSON RD,63590
SWEET RD,35200
TAFT DR,11750
TALL CEDARS LN,30770
TAMARACK RD,46503
TARTE RD,23780
LASALLE AV,46120
LATEENER LN,23120
LATTIMORE RD,76680
LAUREL PL (PARADISE LKS),88950
LAUREL RD E,50160
LAUREL RD W,70160
LAUREL SHAW CT (LAUREL GROVE),76225
LAWRENCE RD,65810
LAY RD,89010
LEE LN,34580
LEE WY,55760
LEESIDE DR,23750
LEEWARD PL (GEORGIA MANOR),12950
LEEWARD WY (GEORGIA MANOR),12940
LEGOE BAY PL (OFF GRANGER WY),11420
LEGOE BAY RD,11090
LEIBRANT RD,66490
LENA RD,12460
LENHART RD,68170
LEVITT ST (TWEED TWENTY),46516
LEWIS AV,46141
LIGHTHOUSE DR,23511
LILAC LN (PARADISE LKS),88780
LILLIAN WY,25230
LIMERICK AVE,9830
LIMERICK WY (PARADISE LKS),88900
LIMESTONE RD,88400
LINCOLN RD,26190
LINCOLN RD (W OF BLAINE RD),26220
LIND RD,89520
LIND RD (S OF SR Q),65000
LINDEN CT (PARADISE LKS),88830
LINDQUIST RD,47150
LINDSAY RD,63260
LINE RD,61490
LINGBLOOM RD,73480
LINNELL RD,89810
LITTLE BIG HORN (PARADISE LKS),88110
LOCUST AV,71030
LONGDIN RD (LAUREL GROVE),76221
LONI LN (PARADISE PARK),76216
LONSETH RD (W OF KICKERVILLE),22042
LOOMIS TRAIL RD (E OF BLAINE RD),26501
LOOMIS TRAIL RD (E OF STEIN RD),26502
LOPEZ DR (SANDY PT HTS),15727
LOPEZ WY,8540
LORA LN,23640
LOWE AV,45590
LOWELL AV,45450
LUMMI SHORE CONNECTOR,16030
LUMMI SHORE DR (N OF CAGEY RD),12760
LUMMI SHORE RD,12770
LUMMI VIEW DR,12780
LUMMI WY,8460
LUNDE RD,56850
LYN CT,31200
LYNBROOK CT,31330
LYNCH ST,88660
LYN-DALE DR,31410
LYNNWOOD DR (S OF BERTRAND),33250
LYNWOOD DR (S OF PARKWOOD WY),31370
ALDERGROVE RD,22130
ALDRICH RD,73750
AUSTIN ST,46020
YEW ST,40830
MACAULAY RD,68710
MACK RD,65940
MACKENZIE RD,12810
MADRONA PL,8890
MAGRATH RD (TWEED TWENTY),46512
MAHONIA DR,40780
MAHONIA PL N,40770
MAHONIA PL S,40760
MAIN ST (CUSTER),24080
MALACHITE DR (EMERALD LK),46712
MALENG RD,89040
MANITOBA WY,9550
MANLEY RD,41570
MANLEY RD,41910
MANOR LN,40870
MANTHEY RD,73950
MAPLE AV,8570
MAPLE CREST AV,25370
MAPLE LN,15260
MAPLE LN (GENEVA),45930
MAPLE PL (GLENHAVEN),43025
MAPLE ST,9910
MAPLE ST,25400
MAPLE WY,22180
MAPLEWOOD AV W (N OF BENNETT),71060
MAPLEWOOD AV W (N OF CITY LIMITS),71570
MARALEE LN,73020
MARIE CT,46505
MARIETTA AV,72640
MARINA DR,8250
MARINE DR,12790
MARINE DR (PT ROBERTS),8210
MARINE WY,70670
MARIOTTA RD,68550
MARK RD,9080
MARKEL RD,89580
MARKET RD (N OF E SMITH RD),55911
MARKET RD (S OF E AXTON RD),55912
MARKWORTH RD,35680
MARSH RD,8853
MARSHALL HILL RD,89260
MARTIN RD,56340
MASSEY RD,65700
MASSEY WY,9440
MATIA DR (SALT SPRING),14814
MATIA WY,8390
MATZ RD,30600
MAY RD,63830
MAYFAIR PL,26205
MAYNE LN (SALT SPRING),14813
MC ALPINE RD,71180
MCGEE RD,32240
MCKENZIE WY (E OF DELANO WY),9402
MCKENZIE WY (E OF WINSTON DR),9401
MCLAREN RD,8770
MCLEOD RD (E OF HOLLYWOOD),71420
MCLEOD RD (W OF BRITTON RD),46500
MEADOW AV,8280
MEADOW LN,9850
MEADOWLARK RD,58750
MECKLEM RD,59350
MEDCALF RD,56490
MEGAN LN,46820
MELCHER AV,11660
MEREDITH RD,88790
MERLE PL,24830
MERTZ RD,55950
MILL RD,9110
MILLER WAY (GLACIER SPRINGS),85012
MILTON ST,45950
MINAKER RD,67340
MISSION RD (N OF SMITH RD),55752
MISSION RD (N OF SR 542),55751
MITCHELL RD,68850
MONTE DR,9690
MOONGLOW CT,26203
MOONGLOW PL,26202
MOONLIGHT WY,25390
MOOSE TRAIL,8710
MORESBY WY (SANDY PT HTS),15724
MORGAN DR,24680
MORGAN RD,67430
MORGAN ST,45980
MORNINGSIDE DR,26201
MORRIS RD,35260
MORRISON AV (S OF BIRCH BAY DR),23670
MOSEY CT,88270
MOSQUITO LK RD Ce,84190
MOUNTAIN VIEW RD,21040
MOUNTVUE WY,25450
MURRAY RD,55830
MUSIC PL (PARADISE LKS),88650
NPRD,88600
NAUTICAL CT,23512
NAVAJO PL (PARADISE LKS),88090
NEEVEL RD,76310
NELSON RD,9730
NELSON RD (E OF SR 9),89570
NEMO CT,23522
NEPTUNE CR,14930
NEWKIRK RD,30340
NIELSEN RD,73270
NIGEL RD,46530
NIGHTINGALE CT,26120
NIMS RD,68250
NOLTE RD,59400
NOOKSACK RD,63440
NOON RD,55550
NORDUM RD,67010
NORTH FORK RD,89510
NORTH PASS RD,66930
NORTH RED RIVER RD,16300
NORTH SHORE RD,47051
NORTH SHORE RD,47052
NORTH STAR RD,21110
NORTHGATE RD (GEORGIA MANOR),12880
NORTHWAY DR,61840
NORTHWEST DR,74050
NORTHWOOD CT (TWEED TWENTY),46581
NORTHWOOD DR,9330
NORTHWOOD RD,61630
NOTTER RD,61170
NUGENT RD,11070
NULLE RD,41830
OAK CT (PARADISE LKS),88920
OAK PL (GLENHAVEN),43026
OAKRIDGE DR (HARBORVIEW),26182
OAT COLES RD,65870
OCEAN COVE LN,22470
OCEAN MIST DR,22460
OCEAN MIST LOOP,22480
OCEAN VIEW CT,8240
OCEANS RD,65780
OERTEL DR,25070
OLD GUIDE RD,76370
OLD MARINE DR,70680
OLD SAMISH RD,44010
OLIVE RD,89480
OLIVE WY (PARADISE LKS),88350
OLIVIA CT,46504
OLSEN DR (GLACIER SPRINGS),85015
OLSON DR,8660
OLSON RD,20930
OLYMPIC DR,15250
OLYMPIC WY,70240
ONTARIO WY,9630
OPAL TERRACE,47120
ORCAS WY,8500
ORCAS WY (SANDY PT HTS),15719
ORCHARD DR (DEER CREEK),73415
OREGON TRAIL (PARADISE LKS),88030
ORIENTAL AV,45510
OSGOOD RD,65180
OUTRIGGER LOOP,23518
OVERLAND TRL (PARADISE LKS),88190
OWENS CT,71380
OYSTER CT,23524
PACIFIC HWY (N OF BAKERVIEW),71892
PACIFIC HWY (N OF NULLE RD),41891
PACIFIC ST,8960
PANGBORN RD,60960
PANORAMA DR,8880
PARADISE COVE (PARADISE PARK),76214
PARADISE CT (PARADISE PARK),76219
